domain,category,risk,status,reported_by,notes,added_at,added_by
0lfw3ft86yg4wulg9vhk.siapbetperang.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
0link.org,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
0toall.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1-win-aviator.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1-win-games.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1-win-kazino.kz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1-win-lucky-jet.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1-win-online.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1-win-slots.com,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1-xbetkz.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.aduantoto12super.pro,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.buktijpcastoto.com,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.buktijpkvtoto.pro,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.kvtotolapor.pro,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.lunashptoto.info,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.panduanagenolx.info,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.promoagenolx.info,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.rtpcastoto.com,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1.rtpslotmitosbet88.net,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
100cuci.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
100cucimy.net,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
100judi.vip,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
100pokies.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
100win.rocks,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
101beton138.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1023win.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1023wowradio.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
104beton138.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
104salesgroup.info,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
105beton138.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10789bet.org,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
107beton138.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10e20.net,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10ensemble.ca,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10genkyou.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10kmagic.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10minquickie.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10tokyo99.shop,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
10xcareerlaunch.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11.promokvtotowin.pro,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
111mars.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11335846wddwd.blog,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1171447.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
119sh.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11bolaong.info,Sportbook,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11croco.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11ksale.ru.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11pelita.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11uua.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbet1d.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbet1q.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbet1u.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbet1y.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbeta.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbetc.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbetolxtoto.cc,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbetp.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
11wbetslot.net,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12.velocityengine.co,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
120743.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
123-hd.me,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
123b.digital,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
123bong.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
123durgapuja.com,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
123gosemar.info,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
123hd.vip,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
123winsb.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
128menang.space,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12bet.in.net,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12bet.surf,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12cuci.bet,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12idr.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12play.lol,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12play.team,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12shiopools.net,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12shiototo.net,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12smart.us.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12tokototo.shop,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
12vn.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
13.prediksikvtotowin.pro,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
138grdrtp.baby,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
138grdrtp.sbs,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
138klubs1.live,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
138klubs1.pro,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
138luckyspingaruda.click,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
13tokototo.shop,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
13win13.win,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
13wins90.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
143.solarbotics.net,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
148winpkr.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
15.rtpkvtotowin.pro,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1505kitchen.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1516cerveceria.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
15gacorhoras88.xyz,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
15riosymposium.com,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
15thcombatengineers.org,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
16.prediksitoto12stars.pro,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168day.art,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168day.in,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168day.online,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168dee.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168dragons.click,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168dragons.io,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168enjoy.vip,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168gachartp.site,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168game.casa,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168game.channel,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168game.in.net,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168game.uk,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168games.website,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168ggfast.vip,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168ggonline.vip,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
168sure.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
169cuanhot.pro,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
169cuanhot.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
16group.vip,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
16rjs138.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1776grill.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
17799-toolkit.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
178betmy.net,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
178gopek.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
178gopekbos.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
178gopekcuy.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
178hoki.lol,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
178sultan.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1800backlinks.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1828uk.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188bet.archi,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188bet.baby,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188bet.cyou,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188bet.fish,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188bet07bg.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188bett.app,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188spor.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
188v.me,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
189.ransrtpgame.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
19216811.biz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1988top1.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
19gacorhoras88.xyz,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
19rtploginhoras88.shop,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1adam77.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1anadoluslot.com,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1bbwin33.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1betqq.pkvgames.poker,Poker,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1betvip3.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1bnza.haha777.baby,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1deg.org,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1dewabos138.cfd,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1ee.com.pk,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1gm247lagi.cc,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1go-irrs01.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1gocasino73.com,Casino,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1hawai99.shop,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1iyds.bigtc.shop,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1k-tv.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1kings.com.tr,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1kokoplay.lol,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1milosbet.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1mm88.info,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1mm888.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1modal777.net,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1nokai.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1nsupgg.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1oberon.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1official.1rtpbeton138.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1pangkat88.online,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1priaqq.art,Poker,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1rdo4d.xyz,Togel,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1rokok.live,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1rokok.vip,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1rtpgacorjempol.click,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1rtpgacorwsp.click,Slot,Tinggi,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1rtpjojowin.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1sultan618.xyz,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1upa.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wafqx.life,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wetow.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wfqtr.life,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win-az-yukle.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win-azerbaycan-oyuny.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win-qeydiyyat-az2.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win-uy.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win.com.bo,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win.com.py,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win.com.ve,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win.cr,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win0.co,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win1.bj,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win1.cm,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1win5762.help,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1winbfs.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1winc.com.br,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wins.com.pe,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wins34-tos.top,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wiwec.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wqkor.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1wxvfb.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1xapk.app,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1xbet-apk-rdc1.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1xbet-burkina-faso.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1xbet-burkina.com,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
1xbet-th.ink,Lainnya,Sedang,Aktif,Dataset Riset Cybersecurity JUDAS,,2026-07-12T09:21:03Z,user
